origin_country,destination_country,passengers
Philippines,Sweden,62
Netherlands,Argentina,304
Switzerland,China,408
Jordan,Russia,106
Nigeria,South Korea,289
Ukraine,UK,390
Switzerland,Malaysia,441
Nigeria,Romania,143
Thailand,Norway,244
Denmark,South Africa,42
Jordan,Thailand,142
Egypt,Finland,266
Spain,Jordan,255
Ghana,Thailand,307
Switzerland,Egypt,24
New Zealand,Indonesia,221
China,South Korea,368
Italy,Spain,324
Peru,Netherlands,93
Egypt,Portugal,182
Qatar,Iran,399
Kenya,Sweden,173
Iran,New Zealand,468
UK,Austria,316
UAE,Poland,399
Argentina,Greece,345
Japan,Saudi Arabia,203
Singapore,Brazil,44
China,South Korea,436
Ukraine,Brazil,160
Peru,Greece,251
Portugal,Singapore,56
Egypt,Ghana,202
Hungary,Chile,312
Russia,Switzerland,395
Colombia,Singapore,2
Ireland,China,68
Saudi Arabia,Nigeria,465
Ghana,Saudi Arabia,470
Thailand,Australia,476
Spain,Russia,225
Germany,Norway,338
Iraq,UK,394
Russia,UAE,127
South Korea,Philippines,410
Sweden,Thailand,104
Oman,Finland,110
Germany,Austria,226
Poland,Thailand,16
France,Poland,451
Russia,Belgium,163
China,Oman,90
Oman,USA,230
Kenya,China,36
Kenya,Canada,57
Oman,Nigeria,492
Spain,Brazil,112
Kenya,Turkey,233
Iran,Argentina,184
Jordan,Sweden,205
Indonesia,Hungary,405
Singapore,South Africa,137
Italy,Canada,165
Hungary,UAE,348
Kenya,Malaysia,487
Greece,Japan,165
Thailand,Iran,106
Russia,Vietnam,162
Italy,Romania,147
Sweden,UK,25
India,Philippines,21
Ireland,Italy,292
Colombia,Romania,314
Netherlands,Canada,382
Germany,Ukraine,179
Thailand,Indonesia,441
Italy,Israel,473
Russia,Ghana,373
Switzerland,Nigeria,335
Kenya,Ukraine,23
Belgium,South Africa,13
Vietnam,Australia,478
Russia,Netherlands,155
Kenya,Jordan,488
Japan,Germany,495
France,Switzerland,288
Peru,Romania,182
Finland,Australia,389
Israel,Greece,191
Mexico,Finland,309
Thailand,Brazil,131
Romania,Norway,469
Colombia,Qatar,472
Norway,Qatar,394
New Zealand,Chile,50
Jordan,Canada,300
Australia,Egypt,97
UK,Egypt,60
Japan,Mexico,452
India,Portugal,56
Japan,Mexico,270
Romania,Germany,367
Russia,Iraq,103
Spain,Russia,444
Australia,Chile,482
Poland,Ireland,175
Israel,Romania,301
UK,Peru,238
Ireland,Greece,135
South Korea,Austria,268
Israel,Mexico,130
Russia,Brazil,459
Greece,Ireland,19
Vietnam,Japan,258
Turkey,Chile,231
UK,Italy,297
Thailand,Saudi Arabia,120
Hungary,Mexico,291
Sweden,Denmark,86
Chile,Greece,295
Nigeria,Qatar,2
UK,Oman,89
Indonesia,Finland,100
Netherlands,Philippines,97
Indonesia,Germany,342
Japan,New Zealand,208
Ukraine,India,389
China,France,252
Portugal,Mexico,317
UAE,Iraq,400
Australia,Austria,288
Thailand,France,28
Iraq,Singapore,301
Oman,Portugal,202
UK,Saudi Arabia,374
Poland,Netherlands,320
Switzerland,Romania,210
Australia,Israel,88
Indonesia,France,40
Denmark,Colombia,162
Kenya,Poland,76
Portugal,China,173
Vietnam,Nigeria,131
Ukraine,Thailand,88
Australia,India,398
Egypt,South Africa,485
Argentina,Spain,378
USA,Thailand,85
Sweden,Australia,452
Iran,South Africa,461
Norway,UK,277
Nigeria,Austria,25
Japan,Vietnam,401
Poland,Oman,484
Mexico,Romania,442
India,Belgium,434
Chile,Spain,178
Kenya,Qatar,335
Ireland,Russia,150
Jordan,Switzerland,241
Ukraine,Vietnam,188
UAE,Australia,13
Belgium,UAE,381
Vietnam,Greece,173
Turkey,Australia,266
Kenya,Brazil,277
Belgium,Sweden,250
Romania,New Zealand,237
Canada,Japan,201
Japan,Ukraine,434
Thailand,Poland,434
China,Thailand,249
Malaysia,Israel,176
Argentina,Kenya,486
Mexico,Thailand,82
Russia,Canada,147
Mexico,Thailand,311
Malaysia,Germany,238
Vietnam,UK,434
Italy,Ukraine,303
Iraq,Turkey,429
Turkey,Austria,470
Chile,Iraq,118
Belgium,Japan,162
UAE,Oman,71
Austria,Romania,114
Brazil,Indonesia,98
India,Nigeria,146
Germany,Philippines,474
Ireland,Ukraine,430
Thailand,Hungary,82
Sweden,Belgium,305
Jordan,Romania,136
Egypt,Colombia,151
Spain,South Africa,288
France,Colombia,7
Mexico,Portugal,175
Peru,USA,428
Brazil,USA,400
Germany,Switzerland,241
Canada,Australia,161
Oman,Ireland,438
Czechia,Netherlands,286
India,Ghana,162
Ghana,UAE,18
Czechia,Colombia,273
China,Qatar,244
Australia,Argentina,345
Thailand,China,490
Nigeria,Colombia,268
UAE,Egypt,469
Oman,Greece,111
Austria,Mexico,485
Italy,South Korea,118
Qatar,Germany,331
Philippines,Kenya,67
China,Egypt,29
Ireland,Sweden,96
Singapore,Philippines,400
Switzerland,Qatar,311
Brazil,Chile,217
Australia,Egypt,454
France,Saudi Arabia,478
Egypt,Thailand,93
Jordan,Romania,150
South Africa,Ireland,99
Belgium,Egypt,85
Italy,Norway,434
Austria,Germany,98
Peru,South Korea,137
Denmark,Portugal,29
Mexico,UAE,477
South Korea,Saudi Arabia,436
India,Austria,175
Ghana,Japan,328
Nigeria,Ghana,497
Spain,Poland,199
Peru,Singapore,231
France,Jordan,269
Austria,Qatar,30
Belgium,USA,359
Iran,USA,124
Chile,Singapore,495
Jordan,Greece,225
Chile,South Africa,128
Romania,Spain,191
Canada,Jordan,325
Czechia,Colombia,398
Philippines,Spain,426
Sweden,Kenya,151
Chile,Ukraine,316
Canada,Czechia,446
Mexico,Jordan,132
Israel,Denmark,426
Greece,Qatar,113
UK,Finland,29
Netherlands,Russia,62
USA,Germany,477
Colombia,Netherlands,427
Portugal,Romania,261
France,Canada,431
China,Denmark,433
Germany,Denmark,393
Brazil,Malaysia,445
Czechia,Argentina,436
India,Israel,442
USA,Saudi Arabia,3
Argentina,Kenya,79
Indonesia,Saudi Arabia,277
Czechia,Switzerland,169
Australia,Denmark,55
Japan,Greece,89
Philippines,Spain,480
Finland,Spain,389
Thailand,Nigeria,388
Australia,Italy,371
Hungary,Qatar,83
Italy,Iran,13
USA,Netherlands,232
Malaysia,Brazil,30
Argentina,Vietnam,226
Finland,Belgium,34
Oman,Czechia,55
Argentina,Canada,239
France,Qatar,481
Indonesia,China,40
Greece,Ukraine,275
Germany,Hungary,306
Sweden,Czechia,106
South Korea,Hungary,239
Belgium,Poland,171
France,Israel,453
Iran,Norway,390
Malaysia,Iran,246
Colombia,Ireland,254
South Africa,Nigeria,146
Peru,Denmark,53
Russia,Switzerland,195
New Zealand,Oman,296
Iran,France,126
Hungary,Spain,105
Ireland,Iraq,447
Singapore,Turkey,427
Ghana,Portugal,439
Colombia,Kenya,198
Finland,Colombia,310
Philippines,Netherlands,420
Saudi Arabia,Portugal,144
UK,Romania,496
Philippines,Peru,453
Mexico,Romania,373
Belgium,Peru,213
Austria,Indonesia,383
Portugal,Ireland,278
Romania,Russia,47
Finland,Colombia,379
Poland,Australia,418
Hungary,Netherlands,43
New Zealand,Sweden,437
Switzerland,Israel,318
Ghana,Argentina,22
France,Austria,250
Saudi Arabia,Netherlands,379
Denmark,Colombia,52
Philippines,Ukraine,169
Belgium,Argentina,128
Saudi Arabia,Sweden,119
South Africa,Denmark,361
Argentina,Qatar,451
Poland,Switzerland,491
Finland,New Zealand,473
Ghana,Thailand,446
Indonesia,Iraq,54
Portugal,Chile,365
Japan,Jordan,203
Indonesia,Russia,218
Poland,France,62
Czechia,USA,256
India,Saudi Arabia,235
Malaysia,Kenya,137
Brazil,Argentina,352
Finland,Switzerland,325
Australia,France,24
Peru,USA,279
Germany,Ireland,1
Kenya,Nigeria,70
China,USA,123
Australia,Nigeria,396
Denmark,Nigeria,451
Australia,Colombia,344
Iran,Ukraine,227
Israel,France,159
Iraq,South Korea,172
Japan,Peru,32
South Korea,India,315
France,Iraq,33
Brazil,Qatar,432
China,Vietnam,339
Norway,Oman,53
Indonesia,Philippines,314
Hungary,Oman,182
Ireland,Belgium,316
India,Singapore,256
Nigeria,Indonesia,430
Ukraine,New Zealand,3
Jordan,Egypt,85
Iran,Philippines,427
Israel,Czechia,427
Portugal,South Korea,250
Oman,Indonesia,75
Japan,Switzerland,463
Oman,South Korea,147
India,Greece,249
Australia,Israel,7
UK,Sweden,376
Brazil,Iran,280
Romania,Canada,85
Argentina,Vietnam,219
India,Spain,104
Japan,Saudi Arabia,31
Finland,Greece,440
Mexico,Oman,96
Saudi Arabia,Egypt,189
Vietnam,South Africa,360
Jordan,Colombia,353
Israel,Czechia,356
Ireland,Egypt,154
France,Ukraine,80
Romania,Iraq,419
Poland,Thailand,251
Jordan,Singapore,243
Switzerland,France,385
Singapore,Ghana,250
Chile,Russia,86
Finland,Netherlands,480
Romania,Colombia,488
Israel,Iraq,434
Oman,Mexico,87
Nigeria,Belgium,397
Brazil,Italy,104
Sweden,Netherlands,43
Denmark,USA,96
Iran,Ireland,295
Indonesia,Poland,66
Greece,Switzerland,1
Russia,Saudi Arabia,236
Indonesia,Netherlands,458
Belgium,Norway,42
Hungary,Thailand,65
Switzerland,Saudi Arabia,325
Ghana,South Korea,5
Germany,South Korea,194
Australia,Belgium,145
Finland,Singapore,8
Japan,Oman,142
Jordan,Portugal,66
Malaysia,Greece,104
Nigeria,India,368
Singapore,Japan,27
Iraq,Czechia,416
Russia,Indonesia,42
Austria,Ukraine,196
Nigeria,UAE,483
Indonesia,Italy,138
Netherlands,Peru,111
UK,Malaysia,22
Malaysia,Turkey,383
Finland,Oman,21
Vietnam,Mexico,243
France,Iraq,401
Mexico,Malaysia,333
Czechia,Germany,231
China,New Zealand,161
Iraq,Iran,317
Malaysia,Australia,471
Russia,Australia,37
Ukraine,Brazil,331
Germany,Iraq,475
China,Australia,426
South Korea,Saudi Arabia,369
Malaysia,Russia,486
Philippines,Saudi Arabia,322
Iraq,Switzerland,237
Poland,Philippines,45
Malaysia,Argentina,167
Italy,Denmark,492
Israel,Philippines,367
Netherlands,Norway,187
Egypt,Spain,259
Canada,Poland,214
Oman,Australia,270
India,Australia,417
Philippines,Thailand,379
Kenya,UK,445
Japan,Spain,78
Oman,Indonesia,198
Kenya,India,339
USA,Egypt,241
Turkey,Hungary,324
Iraq,Finland,308
UAE,Iraq,178
Sweden,Spain,262
Nigeria,Greece,100
Switzerland,South Korea,171
UK,Poland,413
Switzerland,Peru,8
Denmark,Qatar,115
Israel,Romania,487
Egypt,South Korea,299
Egypt,Turkey,151
Norway,Oman,173
Nigeria,Finland,499
Switzerland,Israel,5
Iran,Turkey,498
Canada,Romania,472
South Africa,India,377
Iran,Mexico,82
Netherlands,Mexico,494
Singapore,India,296
Norway,Turkey,167
South Africa,Ireland,353
Ukraine,Colombia,389
Iraq,Hungary,428
India,Czechia,53
Sweden,Hungary,220
Canada,Australia,64
Brazil,Italy,499
Nigeria,Canada,236
Canada,Iran,123
Turkey,Switzerland,79
Belgium,Czechia,66
Hungary,Egypt,264
India,Iraq,406
Norway,Iraq,66
Australia,Saudi Arabia,294
Finland,South Korea,134
Philippines,Ukraine,276
Singapore,Mexico,300
Ireland,Mexico,484
Spain,Kenya,44
Greece,Spain,74
Jordan,USA,365
Ghana,UAE,338
Saudi Arabia,New Zealand,373
Colombia,Russia,252
Argentina,Peru,333
Japan,Turkey,335
South Africa,Sweden,497
Philippines,Egypt,324
Canada,Greece,490
Singapore,South Korea,111
Australia,Chile,32
Australia,Sweden,122
South Korea,Poland,352
Qatar,Kenya,170
Egypt,Canada,500
Norway,New Zealand,73
Russia,Thailand,197
Qatar,Czechia,97
Spain,Vietnam,291
Spain,Malaysia,300
Saudi Arabia,South Korea,56
Thailand,Hungary,487
Chile,Colombia,257
Greece,Ghana,420
Portugal,USA,165
Portugal,Saudi Arabia,288
Mexico,Poland,268
Philippines,Austria,39
Canada,Italy,132
India,Chile,477
Malaysia,Brazil,481
Israel,China,32
Austria,Singapore,224
Germany,Japan,372
South Africa,UAE,479
Colombia,South Africa,308
UAE,Malaysia,281
Switzerland,Argentina,185
Greece,Spain,37
Norway,Colombia,291
Finland,Ireland,116
Brazil,Ghana,314
Nigeria,Philippines,276
UK,Ghana,370
Finland,Poland,171
Poland,Ukraine,19
China,Norway,399
Greece,Portugal,467
South Korea,Oman,28
Poland,Egypt,391
France,Switzerland,211
Israel,Singapore,256
Japan,Belgium,367
Spain,Brazil,316
Czechia,Israel,334
Japan,Portugal,330
UAE,France,345
Romania,Qatar,208
Austria,Japan,107
South Africa,Philippines,395
Italy,Saudi Arabia,317
India,Kenya,357
Switzerland,Thailand,70
South Korea,Denmark,350
Sweden,Saudi Arabia,273
Ukraine,New Zealand,469
Vietnam,India,367
Turkey,Austria,226
Kenya,Egypt,198
France,Turkey,500
Kenya,Australia,177
Germany,Vietnam,375
Portugal,Finland,322
Iran,Romania,318
Romania,Denmark,409
Germany,Switzerland,266
Belgium,Oman,375
India,Finland,37
Iran,Kenya,29
Ireland,Netherlands,424
Vietnam,France,345
Ireland,Japan,190
Ghana,UAE,111
Thailand,New Zealand,189
Netherlands,South Africa,19
Singapore,South Korea,339
Jordan,Greece,461
Nigeria,Netherlands,25
Canada,Mexico,460
Netherlands,Finland,18
Finland,France,139
Japan,Belgium,88
Indonesia,Poland,433
Saudi Arabia,Oman,275
China,Saudi Arabia,54
Philippines,Italy,161
Singapore,Brazil,415
South Korea,Argentina,490
Switzerland,Poland,235
France,Malaysia,360
Philippines,South Korea,404
Ghana,France,28
Australia,Japan,69
Mexico,Iraq,437
Netherlands,New Zealand,499
Saudi Arabia,Italy,437
Chile,China,472
France,Canada,238
Czechia,Egypt,494
Ireland,South Korea,94
Chile,Iraq,149
South Africa,Nigeria,346
UAE,Thailand,117
France,India,79
Portugal,Ghana,231
Hungary,Spain,149
Saudi Arabia,Romania,253
Ukraine,Nigeria,217
Singapore,Vietnam,48
Indonesia,Oman,314
France,Singapore,473
Ireland,Canada,298
Iraq,Vietnam,483
Qatar,France,247
China,USA,11
Greece,China,200
UK,Spain,115
Norway,Ukraine,237
Thailand,Kenya,139
Sweden,Australia,382
Thailand,Indonesia,424
South Africa,USA,68
Denmark,Ireland,144
Nigeria,UAE,448
Jordan,Germany,67
Chile,Japan,193
Egypt,Colombia,97
South Korea,Malaysia,453
Greece,Thailand,169
Russia,Germany,305
Canada,Chile,388
Mexico,Russia,431
Nigeria,Kenya,395
Poland,South Korea,368
Jordan,Peru,4
Indonesia,USA,182
Germany,Sweden,350
Iran,Canada,154
Switzerland,Indonesia,12
Germany,Oman,261
Italy,Jordan,415
Jordan,Chile,391
Hungary,Romania,115
Kenya,Colombia,55
Ukraine,Belgium,138
Russia,Austria,292
Ghana,Iran,471
Ghana,Malaysia,276
Spain,USA,480
Spain,Ghana,416
Romania,Russia,154
France,Oman,425
Philippines,Netherlands,319
Thailand,Philippines,1
Germany,Thailand,58
Iran,Indonesia,399
Denmark,Poland,4
UK,France,95
Ukraine,Chile,213
South Korea,Chile,343
Poland,Portugal,490
Germany,Vietnam,417
Belgium,Nigeria,416
Nigeria,Jordan,172
Kenya,India,88
China,Malaysia,209
Turkey,Portugal,347
Switzerland,Australia,22
Argentina,Australia,332
Israel,Peru,375
Belgium,Philippines,237
Netherlands,Australia,220
Saudi Arabia,Iran,208
New Zealand,Switzerland,105
Germany,USA,111
Israel,Russia,205
Norway,USA,10
Portugal,Sweden,253
UK,Netherlands,179
Norway,Jordan,226
Spain,Italy,476
Nigeria,Oman,11
Japan,Romania,94
Belgium,Finland,289
Switzerland,Romania,264
Portugal,Colombia,99
Saudi Arabia,Peru,455
Israel,Ireland,482
USA,Japan,86
Canada,Finland,490
Thailand,Ghana,43
Portugal,Romania,283
Ukraine,Germany,80
Thailand,Egypt,40
Finland,Kenya,302
Israel,Argentina,423
Russia,South Korea,156
Singapore,Qatar,127
Portugal,Norway,314
Brazil,Czechia,115
Austria,Kenya,15
France,Indonesia,307
Ireland,Denmark,159
UAE,Italy,199
Japan,China,114
USA,Greece,444
Australia,UAE,205
UK,Ghana,446
Peru,Turkey,203
Belgium,Oman,353
Chile,Austria,77
Norway,Indonesia,315
Indonesia,Oman,374
Israel,Turkey,109
China,Ghana,403
Malaysia,South Africa,343
Poland,Malaysia,168
Ghana,Thailand,303
Denmark,Netherlands,162
Israel,UAE,252
Germany,USA,377
Australia,Germany,137
Israel,Iraq,176
Saudi Arabia,China,147
Thailand,Singapore,266
Germany,Oman,10
Ukraine,Singapore,466
Belgium,Austria,107
Ghana,Philippines,197
Germany,Romania,351
Turkey,Brazil,220
Vietnam,Japan,14
Jordan,Denmark,281
Mexico,Peru,189
Netherlands,Malaysia,180
UK,Switzerland,196
UAE,Iraq,56
Belgium,Oman,223
Vietnam,South Korea,462
New Zealand,Sweden,112
Switzerland,Austria,119
Australia,Oman,212
Thailand,Australia,489
Nigeria,Peru,5
India,Colombia,80
Indonesia,South Africa,423
Colombia,Singapore,358
Egypt,Greece,179
USA,Oman,259
Chile,Egypt,279
Qatar,Iran,406
Poland,New Zealand,123
Qatar,Hungary,152
France,Japan,174
Norway,Colombia,6
Indonesia,Finland,238
UK,Ukraine,328
Belgium,France,16
South Korea,Poland,347
Ghana,Belgium,316
Nigeria,New Zealand,292
Singapore,UAE,278
Greece,Egypt,206
Greece,Israel,310
Peru,Greece,48
Finland,Japan,182
Indonesia,Netherlands,486
Portugal,Denmark,479
Iran,India,253
Norway,Greece,196
Argentina,Mexico,102
Mexico,Qatar,290
Netherlands,Iraq,430
New Zealand,South Africa,62
Chile,Brazil,257
Saudi Arabia,South Korea,214
France,Vietnam,318
Indonesia,Australia,210
Egypt,Qatar,368
Iraq,Israel,35
Iraq,UK,295
Singapore,Egypt,331
Belgium,Denmark,36
Iraq,Ghana,109
Finland,Austria,430
Ukraine,Portugal,193
Netherlands,Iran,467
Iraq,Norway,116
Singapore,Peru,219
New Zealand,Australia,364
Canada,Ireland,330
Switzerland,Denmark,462
Greece,Chile,305
France,Greece,1
France,Denmark,70
Turkey,Singapore,141
China,Ireland,190
Indonesia,UK,489
Denmark,Ireland,419
UK,Argentina,459
Austria,Argentina,210
Thailand,South Korea,207
Italy,Romania,167
Australia,Colombia,412
Nigeria,Sweden,282
Qatar,Nigeria,375
Greece,Romania,335
Netherlands,Israel,137
Vietnam,Japan,100
New Zealand,Japan,39
Spain,Brazil,372
China,Mexico,443
Iraq,Italy,364
Malaysia,Iraq,76
Italy,Austria,482
Ghana,Jordan,426
Czechia,Qatar,449
Iran,Philippines,19
Argentina,Vietnam,90
UK,Switzerland,248
Singapore,Denmark,423
Japan,Italy,280
Mexico,Qatar,34
Poland,Malaysia,246
Philippines,Colombia,66
Egypt,Spain,158
China,Indonesia,467
South Korea,Poland,483
Greece,Peru,226
UK,Germany,358
Qatar,Germany,430
South Africa,Egypt,264
Portugal,South Korea,309
France,Mexico,159
Saudi Arabia,France,294
Japan,Singapore,220
Sweden,Ukraine,214
Qatar,Israel,349
Egypt,Argentina,278
Brazil,Singapore,225
Netherlands,Qatar,486
Mexico,Norway,53
Czechia,Chile,291
Philippines,China,479
Poland,Qatar,469
Canada,Qatar,434
Nigeria,Brazil,190
Nigeria,Japan,161
Denmark,UK,372
South Korea,Russia,319
Indonesia,Jordan,171
Singapore,Czechia,475
Norway,Argentina,100
Malaysia,Brazil,24
Portugal,USA,61
Ireland,Norway,181
Greece,New Zealand,185
Philippines,Nigeria,120
South Africa,Ghana,73
South Korea,Brazil,137
Finland,South Africa,460
Argentina,India,462
Canada,India,195
Hungary,Philippines,348
Ireland,Thailand,74
Ghana,Australia,155
Hungary,Peru,396
Switzerland,Egypt,325
South Korea,China,451
Nigeria,Romania,93
Germany,Qatar,88
Jordan,India,290
Oman,UK,167
South Korea,Mexico,212
Indonesia,Thailand,487
India,Egypt,400
Argentina,Chile,215
New Zealand,Israel,370
Czechia,Ireland,207
Netherlands,Qatar,253
Russia,Oman,164
New Zealand,Hungary,268
Nigeria,Kenya,121
Spain,Iraq,83
Czechia,Argentina,350
Thailand,Malaysia,327
Denmark,Poland,428
Thailand,Egypt,357
Argentina,Singapore,500
Israel,Germany,306
Kenya,Portugal,41
Nigeria,Belgium,349
Nigeria,Philippines,160
Greece,Germany,299
Malaysia,Israel,291
Spain,Singapore,265
Peru,Philippines,164
Peru,Israel,308
Hungary,Colombia,89
Germany,Turkey,412
Brazil,Norway,223
Thailand,Chile,471
Kenya,Greece,28
Switzerland,Greece,458
USA,Ghana,439
Oman,Iraq,407
New Zealand,India,333
Indonesia,Qatar,73
Ukraine,Czechia,488
Indonesia,India,306
Nigeria,Indonesia,189
Turkey,Singapore,322
Hungary,Iran,79
Jordan,Argentina,398
Netherlands,Finland,247
Russia,New Zealand,45
Iraq,Spain,37
South Korea,Mexico,420
Turkey,France,273
Spain,Israel,466
Denmark,Ukraine,272
Thailand,USA,368
Poland,Indonesia,322
Colombia,India,254
Australia,Turkey,363
Spain,Argentina,211
Canada,Norway,303
Israel,Australia,293
Turkey,Germany,289
Ghana,Colombia,278
Kenya,Norway,480
Sweden,Malaysia,165
Spain,Vietnam,233
Romania,Poland,99
Russia,Iraq,56
Chile,Australia,36
Norway,Thailand,29
Indonesia,Poland,224
Spain,South Korea,213
Norway,Netherlands,81
Ghana,Philippines,496
Thailand,Ireland,72
Netherlands,Saudi Arabia,256
Mexico,Colombia,283
Portugal,Chile,82
Portugal,Ireland,102
Czechia,South Africa,178
Spain,Qatar,254
Egypt,South Korea,412
Iran,Nigeria,293
USA,UAE,303
Germany,Brazil,231
Switzerland,Ghana,299
Chile,South Africa,262
UK,Nigeria,94
Argentina,Iraq,78
Egypt,Malaysia,32
Iraq,UAE,252
Poland,Hungary,312
Czechia,Russia,340
Oman,UAE,263
Jordan,India,486
India,Malaysia,340
Belgium,Switzerland,56
Brazil,Germany,8
Canada,Germany,32
Ukraine,Thailand,114
Denmark,Germany,368
UAE,South Africa,266
Oman,Germany,124
Indonesia,Malaysia,430
Canada,Mexico,127
Norway,Oman,234
Germany,Brazil,411
Singapore,Brazil,40
UK,Colombia,39
China,Italy,225
Vietnam,Greece,414
Peru,Ghana,381
Finland,Austria,97
UAE,Ireland,439
Germany,Ghana,359
Qatar,Argentina,198
Singapore,Nigeria,239
Thailand,Kenya,485
India,UAE,49
Peru,Indonesia,94
South Africa,Ghana,319
UK,Iraq,142
Turkey,Thailand,396
Japan,New Zealand,132
Qatar,Netherlands,438
UK,South Africa,204
Norway,Australia,22
Hungary,Sweden,71
Mexico,Malaysia,3
Japan,Vietnam,99
UK,Romania,327
Vietnam,Philippines,12
Singapore,Thailand,68
Argentina,South Korea,424
Colombia,Czechia,155
Switzerland,Oman,359
Iran,Ghana,348
UAE,Belgium,351
Belgium,Vietnam,331
Peru,Ukraine,10
Austria,Italy,9
Oman,India,424
Egypt,Iran,7
Iran,Germany,8
Saudi Arabia,China,424
India,Italy,114
Philippines,Colombia,278
China,Belgium,110
Vietnam,Philippines,459
Belgium,Singapore,356
Greece,Vietnam,59
Ukraine,Greece,306
Belgium,Australia,445
South Africa,Japan,119
USA,Peru,317
Egypt,Argentina,328
Singapore,India,257
UK,Germany,17
Qatar,Chile,50
Netherlands,Colombia,62
Philippines,Australia,214
Ghana,Egypt,202
Belgium,Turkey,456
Vietnam,Ukraine,79
Thailand,USA,105
Ireland,Turkey,238
Netherlands,Finland,491
Romania,Brazil,137
Norway,Iraq,10
Qatar,Ireland,309
New Zealand,South Korea,250
China,Netherlands,383
Indonesia,Israel,17
Oman,Ireland,404
Denmark,Nigeria,141
Chile,Mexico,13
Greece,Ukraine,487
Turkey,Germany,235
China,Switzerland,367
Mexico,Denmark,282
Kenya,UK,125
Iraq,Ukraine,426
China,Peru,170
Romania,Ireland,258
USA,Denmark,222
UAE,Philippines,257
France,Denmark,76
